county_code,population_adult,prison_entries_per_100,income_p_c,unemploy_per_100,poverty_per_100,pop_o_per,pop_b_per,crime_per_100,vio_offence_per_100,prop_offence_per_100,crime_idx,percent_reg_repub,percent_reg_repub_10,percent_poverty,pers_property_mill,drug_offences,income_p_c_100,unemploy_perc,drug_offence_per_100,hs_attainment_perc,male_perc,vio_crime_per_100,prop_crime_per_100,drug_percentage,vio_percentage,prop_percentage
37001,102860,656.2317713,19.391,1912.307991,13788.64476,5.623853211,18.76452599,5394.711258,447.2097997,4947.501458,5549,34.49410234,3.449410234,11.1,1863.845,186,193.91,2.8,180.8283103,76.6,47.23118802,351.6819572,3890.672783,3.243243243,8.02092415,88.73583261
37003,26237,304.9129093,18.507,1600.792774,10751.99146,3.365770913,4.633514865,3483.629988,232.4960933,3251.133895,914,46.23876765,4.623876765,8.5,339.859,6,185.07,2.3,22.86846819,68.6,49.28917178,181.5314109,2538.463828,0.652173913,6.630434783,92.7173913
37005,8852,101.6719385,17.691,4801.174876,20379.57524,3.081389904,1.22659176,666.5160416,56.4844103,610.0316313,59,28.330922,2.8330922,17.2,138.19,6,176.91,7.1,67.78129236,68.1,49.05106191,46.8164794,505.6179775,9.230769231,7.692307692,83.07692308
37007,19595,505.2309263,14.853,3618.269967,21612.65629,1.823936696,48.64490603,5394.233223,459.3008421,4934.932381,1057,13.54621849,1.354621849,17.8,284.802,11,148.53,6.6,56.13676958,70.2,48.86960959,356.0830861,3825.914936,1.029962547,8.426966292,90.54307116
37009,20157,188.5201171,16.429,3591.804336,16103.58684,2.17765748,0.664370079,1805.824279,104.18217,1701.642109,364,44.64528974,4.464528974,13.5,287.77,5,164.29,6,24.80527856,68.6,48.83663244,86.12204724,1406.660105,1.35501355,5.691056911,92.95392954
37011,14225,91.3884007,15.176,1940.246046,16485.06151,2.563057028,3.483427506,1124.780316,49.20913884,1075.571178,160,68.43259933,6.843259933,15.3,162.828,1,151.76,3.3,7.029876977,70.6,52.9771529,40.77590726,891.2448302,0.621118012,4.347826087,95.0310559
37013,35631,681.9904016,16.722,4358.564172,24254.1607,2.533475688,29.02931625,4392.24271,569.7286071,3822.514103,1565,27.55175388,2.755175388,19.5,953.918,69,167.22,7.6,193.6515955,75,46.80194213,451.5325415,3029.494195,4.222766218,12.42350061,83.35373317
37015,15218,657.1165725,14.096,5414.640557,30207.64884,1.360441005,62.38801437,3535.28716,446.8392693,3088.447891,538,9.196521739,0.919652174,23.5,200.923,20,140.96,9.1,131.4233145,63.8,45.17676436,344.181809,2378.90368,3.584229391,12.18637993,84.22939068
37017,25247,328.7519309,14.735,4630.253099,26228.85887,4.876386393,37.90507466,6048.243356,1136.768725,4911.474631,1527,14.84530535,1.484530535,21,556.532,15,147.35,5.7,59.41299956,70.6,47.14223472,889.150505,3841.625875,0.972762646,18.61219196,80.4150454
37019,59372,362.1235599,19.857,2723.50603,15318.66873,3.318157582,14.37770881,5062.992656,360.4392643,4702.553392,3006,35.59888796,3.559888796,12.6,1159.779,39,198.57,4.6,65.68752948,78.3,48.78393856,292.5855539,3817.284423,1.280788177,7.027914614,91.69129721
37021,166291,300.0763721,20.384,1648.315303,13783.06703,3.462414579,7.476612864,5100.696971,485.2938523,4615.403119,8482,32.95103256,3.295103256,11.4,2861.414,110,203.84,2.6,66.14910007,82,47.20159239,391.1589356,3720.129902,1.280260708,9.392458101,89.32728119
37023,70208,327.5979945,17.397,2069.564722,13007.06472,7.275541796,6.712659151,3582.212853,226.469918,3355.742935,2515,36.31090487,3.631090487,10.7,1220.716,30,173.97,3.1,42.7301732,67.6,49.60545807,178.3610971,2642.885187,1.178781925,6.247544204,92.57367387
37025,100766,496.1991148,21.121,1843.875911,9038.763075,4.558876266,12.17811282,4196.852113,333.4458051,3863.406308,4229,42.01407503,4.201407503,7.1,2722.118,144,211.21,2.6,142.9053451,78.2,48.62155886,256.3652595,2970.327247,3.292933913,7.683512463,89.02355362
37027,61337,407.5843292,17.353,1612.403606,13305.18284,2.809533036,5.434446904,4212.791627,407.5843292,3805.207297,2584,45.29550436,4.529550436,10.7,914.968,35,173.53,2.4,57.06180609,66.2,48.71447903,321.7171977,3003.551758,1.336387934,9.545628102,89.11798396
37029,5385,259.9814299,18.681,1615.598886,12794.80037,2.106027596,17.26942629,1559.888579,129.9907149,1429.897864,84,18.23449874,1.823449874,10.1,66.412,7,186.81,2.5,129.9907149,82.1,49.13649025,101.6702977,1118.373275,7.692307692,7.692307692,84.61538462
37031,48644,267.2477592,21.26,2723.871392,12885.4535,2.729737467,6.990216055,4265.685388,275.4707672,3990.214621,2075,39.29393343,3.929393343,10.7,709.973,30,212.6,4.5,61.67255982,82,48.56714086,225.6538066,3268.612229,1.425178147,6.365795724,92.20902613
37033,18647,278.865233,16.47,1887.703116,17214.56535,2.408408153,36.52185013,2461.521961,359.3071272,2102.214833,459,17.50798722,1.750798722,14.4,167.27,12,164.7,2.6,64.35351531,69.2,50.48533276,285.0942513,1668.014127,2.547770701,14.22505308,83.22717622
37035,110896,312.9057856,20.358,1538.3783,11441.35045,6.635141335,8.372033934,6195.895253,410.2943298,5785.600923,6871,46.76938478,4.676938478,9.1,2586.975,76,203.58,2.1,68.53267927,74.8,48.76551003,321.1326454,4528.323194,1.093997409,6.549589751,92.35641284
37037,39380,170.1371254,23.355,1312.849162,11993.39766,7.983133654,17.07415967,3788.725241,289.4870493,3499.238192,1492,27.58674054,2.758674054,9.7,715.469,19,233.55,1.9,48.24784154,77.9,48.47892331,231.1154361,2793.658517,1.2574454,7.544672402,91.1978822
37039,19908,281.2939522,15.814,4405.264215,18480.00804,3.584657173,1.592723681,3280.088407,205.9473578,3074.141049,653,41.35184807,4.135184807,15.3,246.349,6,158.14,7.2,30.13863773,73.3,47.63914004,168.7381678,2518.725821,0.91047041,6.2215478,92.86798179
37041,11085,631.4839874,15.027,2426.702751,21939.55796,1.941346551,38.51590106,4700.045106,369.8691926,4330.175913,521,20.34642902,2.034642902,17.6,167.976,17,150.27,3.9,153.3603969,73.1,47.47857465,289.7526502,3392.226148,3.159851301,7.620817844,89.21933086
37043,7361,67.92555359,18.221,2404.564597,13462.84472,1.196581197,0.797720798,1385.681293,163.0213286,1222.659965,102,40.57365235,4.057365235,11.4,91.764,2,182.21,4.1,27.17022144,76.5,47.81958973,136.7521368,1025.641026,1.923076923,11.53846154,86.53846154
37045,74505,394.604389,17.395,3720.555667,16704.91913,2.260949038,20.9385194,7309.576538,632.1723374,6677.404201,5446,29.56149506,2.956149506,13.3,1319.811,49,173.95,6,65.76739816,72.2,47.09348366,489.3099794,5168.401587,0.891719745,8.571428571,90.53685168
37047,42447,431.1258746,14.415,5809.597851,28741.72497,5.622020494,30.9302453,7263.175254,669.0696633,6594.105591,3083,15.8858139,1.58858139,22.7,914.735,23,144.15,10.4,54.18521921,68.7,47.36730511,518.7309357,5112.422145,0.740502254,9.143593046,90.1159047
37049,71344,349.0132317,18.423,2232.843687,15821.93317,4.941161031,25.09314599,4650.706436,486.375869,4164.330567,3318,33.13554475,3.313554475,13.1,1212.455,70,184.23,4.1,98.11616954,82.1,50.33920161,379.1396698,3246.178556,2.066115702,10.2420307,87.6918536
37051,226750,448.0705623,17.376,2299.448732,16048.95259,9.948079468,34.89932664,8169.790518,719.7353914,7450.055127,18525,27.49061437,2.749061437,12.8,2910.22,172,173.76,4.1,75.85446527,85,50.47320838,538.6849749,5575.983628,0.919933679,8.728673049,90.35139327
