county_code,population_adult,prison_entries_per_100,income_p_c,unemploy_per_100,poverty_per_100,pop_o_per,pop_b_per,crime_per_100,crime_idx,percent_reg_repub,percent_reg_repub_10,percent_poverty,pers_property_mill,drug_offenses,income_p_c_100,vio_offence_per_100,prop_offence_per_100,drug_offence_per_100,poverty_per_mill,unemploy_perc,hs_attainment_perc
37001,"116,330",502.0201152,22819,6852.058798,20049.85816,10.00841537,18.77113233,5623.656838,6542,33.75334733,3.375334733,16.3,1946.452,106,228.19,545.0012894,5078.655549,91.1200894,20.04985816,11.4,83
37003,"30,427",203.7663917,20716,7555.789266,18154.92819,4.937039933,5.492230765,3135.373188,954,43.92254841,4.392254841,15,364.6,7,207.16,190.6201729,2944.753015,23.00588293,18.15492819,13,79.3
37005,"9,290",161.4639397,18919,5769.644779,30850.37675,6.577994933,1.255042582,721.2055974,67,31.45315488,3.145315488,26.2,165.647,6,189.19,75.34983854,645.8557589,64.58557589,30.85037675,11.5,79.4
37007,"20,969",429.2050169,16856,6767.132434,23668.27221,4.325604119,48.5750334,5570.127331,1168,13.93457437,1.393457437,20.5,284.83,21,168.56,639.0385808,4931.08875,100.1478373,23.66827221,14.3,76.3
37009,"21,991",318.3120367,20350,6952.844345,21422.40007,3.942084515,0.59015432,2287.29935,503,42.11517112,4.211517112,17.8,332.133,21,203.5,177.3452776,2109.954072,95.49361102,21.42240007,12.3,81.4
37011,"15,945",351.207275,23465,5349.639385,18037.0022,4.120191213,3.983817497,1806.208843,288,62.40922683,6.240922683,18.1,247.066,18,234.65,100.3449357,1705.863907,112.8880527,18.0370022,10.8,81.5
37013,"37,773",532.1261218,22728,6194.90112,21245.33397,6.259042587,25.59308193,4050.512271,1530,30.30617051,3.030617051,17.2,1534.012,58,227.28,479.178249,3571.334022,153.5488312,21.24533397,11.4,81.7
37015,"15,398",714.3784907,17614,6565.787765,30679.309,2.38574303,62.47533127,2376.932069,366,9.85984583,0.985984583,23.3,239.911,26,176.14,149.3700481,2227.562021,168.8530978,30.679309,11.6,72.6
37017,"26,602",375.9115856,17890,7116.006315,30730.77212,8.921209345,34.86217675,6179.986467,1644,12.53728685,1.253728685,24.1,591.62,12,178.9,417.26186,5762.724607,45.10939027,30.73077212,12.2,74.7
37019,"85,449",303.1047759,26315,6589.895727,16025.9336,5.401600407,11.44083179,4246.977729,3629,37.01411719,3.701411719,13.5,1477.501,65,263.15,266.8258259,3980.151903,76.06876616,16.0259336,11.2,86.3
