fips,value,asdfs,,
37001,116330,,,
37003,30427,,,
37005,9290,,,asdfasd
37007,20969,,,
37009,21991,,,
37011,15945,asdfasd,,
37013,37773,,,
37015,15398,,,
37017,26602,,,
37019,85449,,,
37021,187479,,,
37023,72646,,,
37025,128503,,,
37027,64294,,,dsfsdf
37029,8219,,,
37031,55737,,,
37033,19895,,,
37035,124173,,,
37037,49617,,,
37039,23158,,,
37041,11840,,,
37043,9068,,,
37045,78449,,,
37047,43676,,,
37049,75537,,,
37051,240968,,,
37053,21000,,,
37055,31479,,,
37057,128227,,,
37059,33516,,,
37061,42760,,,
37063,202727,,,
37065,40136,,,
37067,273681,,,
37069,46707,,,
37071,158889,,,
37077,46263,,,
37079,16883,,,
37081,373685,,,
37083,44399,,,
37085,87097,,,
37087,48803,,,
37089,86470,,,
37091,19776,,,
37093,34679,,,
37097,120909,,,
37099,31578,,,
37101,128402,,,
37103,8441,,,
37105,45193,,,
37107,45802,,,
37109,59821,,,
37113,29489,,,
37115,17682,,,
37117,19006,,,
37111,35851,,,
37119,694616,,,
37121,13327,,,
37123,22371,,,
37125,71304,,,
37127,75676,,,
37129,164890,,,
37131,17518,,,
37133,124880,,,
37135,107473,,,
37137,11290,,,
37139,33698,,,
37141,42768,,,
37143,10523,,,
37145,31193,,,
37147,121767,,,
37149,16681,,,
37151,114713,,,
37153,36913,,,
37155,101280,,,
37157,74532,,,
37159,110030,,,
37161,51783,,,
37163,52856,,,
37165,29318,,,
37167,48080,,,
37169,38519,,,
37171,60632,,,
37173,11366,,,
37175,26200,,,
37177,3594,,,
37179,142701,,,
37181,34288,,,
37183,676385,,,
37185,17184,,,
37187,10431,,,
37189,38299,,,
37191,92387,,,
37193,54864,,,
37195,62401,,,
37197,31105,,,
37199,15551,,,
