fips,value,Percent,Cum.
1003,1,0.07,0.29
1009,2,0.14,0.43
1015,4,0.29,0.72
1033,1,0.07,0.79
1043,1,0.07,0.86
1045,1,0.07,0.93
1053,1,0.07,1
1055,1,0.07,1.08
1067,1,0.07,1.15
1069,1,0.07,1.22
1073,8,0.57,1.79
1081,2,0.14,1.94
1083,1,0.07,2.01
1087,1,0.07,2.08
1089,3,0.22,2.3
1097,10,0.72,3.01
1099,2,0.14,3.16
1101,2,0.14,3.3
1103,1,0.07,3.37
1109,1,0.07,3.44
1113,2,0.14,3.59
1115,1,0.07,3.66
1117,2,0.14,3.8
1121,3,0.22,4.02
1125,3,0.22,4.23
4003,2,0.14,4.38
4005,3,0.22,4.59
4013,11,0.79,5.38
4015,1,0.07,5.45
4019,13,0.93,6.38
4021,3,0.22,6.6
4025,3,0.22,6.81
4027,1,0.07,6.89
5001,1,0.07,6.96
5003,1,0.07,7.03
5007,4,0.29,7.32
5029,1,0.07,7.39
5033,1,0.07,7.46
5059,1,0.07,7.53
5069,1,0.07,7.6
5071,1,0.07,7.68
5083,2,0.14,7.82
5085,1,0.07,7.89
5091,1,0.07,7.96
5097,1,0.07,8.03
5099,1,0.07,8.11
5115,1,0.07,8.18
5119,3,0.22,8.39
5125,1,0.07,8.46
5131,4,0.29,8.75
5145,1,0.07,8.82
6001,1,0.07,8.9
6021,1,0.07,8.97
6037,2,0.14,9.11
6047,1,0.07,9.18
6059,2,0.14,9.33
6067,1,0.07,9.4
6071,1,0.07,9.47
6073,1,0.07,9.54
6075,1,0.07,9.61
6081,1,0.07,9.68
6113,1,0.07,9.76
8001,1,0.07,9.83
9011,1,0.07,9.9
10001,6,0.43,10.33
10003,9,0.65,10.98
10005,1,0.07,11.05
12001,2,0.14,11.19
12007,2,0.14,11.33
12009,1,0.07,11.41
12011,2,0.14,11.55
12019,1,0.07,11.62
12023,2,0.14,11.76
12031,9,0.65,12.41
12033,3,0.22,12.63
12039,1,0.07,12.7
12053,1,0.07,12.77
12057,4,0.29,13.06
12069,3,0.22,13.27
12071,2,0.14,13.41
12073,1,0.07,13.49
12079,1,0.07,13.56
12083,3,0.22,13.77
12086,12,0.86,14.63
12087,1,0.07,14.71
12091,1,0.07,14.78
12095,11,0.79,15.57
12097,1,0.07,15.64
12099,2,0.14,15.78
12101,2,0.14,15.93
12103,7,0.5,16.43
12105,3,0.22,16.64
12109,1,0.07,16.71
12111,1,0.07,16.79
12113,2,0.14,16.93
12117,1,0.07,17
12127,5,0.36,17.36
12129,1,0.07,17.43
13021,4,0.29,17.72
13023,2,0.14,17.86
13027,1,0.07,17.93
13047,1,0.07,18.01
13051,4,0.29,18.29
13067,5,0.36,18.65
13087,1,0.07,18.72
13089,1,0.07,18.79
13097,1,0.07,18.87
13115,1,0.07,18.94
13121,4,0.29,19.23
13127,1,0.07,19.3
13135,2,0.14,19.44
13139,1,0.07,19.51
13153,1,0.07,19.58
13169,1,0.07,19.66
13175,1,0.07,19.73
13179,1,0.07,19.8
13207,2,0.14,19.94
13211,2,0.14,20.09
13215,6,0.43,20.52
13217,1,0.07,20.59
13219,1,0.07,20.66
13233,1,0.07,20.73
13237,1,0.07,20.8
13245,1,0.07,20.88
13253,1,0.07,20.95
13255,3,0.22,21.16
13265,1,0.07,21.23
13305,1,0.07,21.31
13321,1,0.07,21.38
16001,1,0.07,21.45
16011,2,0.14,21.59
17031,5,0.36,21.95
17043,2,0.14,22.09
17111,1,0.07,22.17
17119,1,0.07,22.24
17163,2,0.14,22.38
17201,1,0.07,22.45
18003,1,0.07,22.53
18011,2,0.14,22.67
18035,2,0.14,22.81
18067,1,0.07,22.88
18081,1,0.07,22.96
18089,2,0.14,23.1
18095,1,0.07,23.17
18097,4,0.29,23.46
18109,1,0.07,23.53
18153,1,0.07,23.6
18157,1,0.07,23.67
18163,1,0.07,23.74
18167,2,0.14,23.89
21067,1,0.07,23.96
21111,1,0.07,24.03
21151,1,0.07,24.1
22015,3,0.22,24.32
22017,1,0.07,24.39
22019,1,0.07,24.46
22033,3,0.22,24.68
22045,1,0.07,24.75
22051,4,0.29,25.04
22055,3,0.22,25.25
22057,1,0.07,25.32
22063,1,0.07,25.39
22071,4,0.29,25.68
22073,2,0.14,25.82
22085,1,0.07,25.9
22089,2,0.14,26.04
22117,1,0.07,26.11
24005,4,0.29,26.4
24025,1,0.07,26.47
28017,1,0.07,26.54
28029,1,0.07,26.61
28035,2,0.14,26.76
28047,3,0.22,26.97
28049,2,0.14,27.12
28059,3,0.22,27.33
28079,1,0.07,27.4
28081,2,0.14,27.55
28091,1,0.07,27.62
28101,1,0.07,27.69
28111,1,0.07,27.76
28121,1,0.07,27.83
28123,1,0.07,27.91
28137,1,0.07,27.98
29007,1,0.07,28.05
29019,3,0.22,28.26
29023,2,0.14,28.41
29027,5,0.36,28.77
29047,4,0.29,29.05
29051,1,0.07,29.12
29071,1,0.07,29.2
29077,1,0.07,29.27
29095,8,0.57,29.84
29099,4,0.29,30.13
29107,2,0.14,30.27
29119,1,0.07,30.34
29127,1,0.07,30.42
29135,1,0.07,30.49
29165,1,0.07,30.56
29175,1,0.07,30.63
29183,3,0.22,30.85
29187,3,0.22,31.06
29189,23,1.65,32.71
29197,2,0.14,32.86
29219,2,0.14,33
29221,2,0.14,33.14
29510,8,0.57,33.72
30073,1,0.07,33.79
30077,1,0.07,33.86
30111,1,0.07,33.93
31055,1,0.07,34
31109,1,0.07,34.07
31153,1,0.07,34.15
32003,8,0.57,34.72
32031,4,0.29,35.01
35017,1,0.07,35.08
37001,1,0.07,35.15
37017,1,0.07,35.22
37021,1,0.07,35.29
37025,1,0.07,35.37
37035,1,0.07,35.44
37045,1,0.07,35.51
37051,1,0.07,35.58
37057,1,0.07,35.65
37061,1,0.07,35.72
37065,1,0.07,35.8
37067,4,0.29,36.08
37079,1,0.07,36.15
37083,1,0.07,36.23
37087,2,0.14,36.37
37097,1,0.07,36.44
37111,1,0.07,36.51
37117,1,0.07,36.59
37119,5,0.36,36.94
37131,1,0.07,37.02
37147,3,0.22,37.23
37155,1,0.07,37.3
37157,3,0.22,37.52
37161,1,0.07,37.59
37171,3,0.22,37.8
37179,1,0.07,37.88
37183,3,0.22,38.09
37197,1,0.07,38.16
39013,1,0.07,38.24
39017,1,0.07,38.31
39035,9,0.65,38.95
39049,2,0.14,39.1
39057,1,0.07,39.17
39061,10,0.72,39.89
39085,2,0.14,40.03
39089,1,0.07,40.1
39093,2,0.14,40.24
39095,4,0.29,40.53
39099,2,0.14,40.67
39113,3,0.22,40.89
39133,1,0.07,40.96
39135,1,0.07,41.03
39139,2,0.14,41.18
39153,6,0.43,41.61
39155,3,0.22,41.82
39165,1,0.07,41.89
39173,1,0.07,41.97
40009,1,0.07,42.04
40017,3,0.22,42.25
40019,2,0.14,42.4
40027,4,0.29,42.68
40029,1,0.07,42.75
40031,6,0.43,43.19
40037,1,0.07,43.26
40049,1,0.07,43.33
40051,3,0.22,43.54
40055,1,0.07,43.62
40065,1,0.07,43.69
40071,2,0.14,43.83
40079,2,0.14,43.97
40087,1,0.07,44.05
40089,1,0.07,44.12
40091,2,0.14,44.26
40097,1,0.07,44.33
40101,4,0.29,44.62
40103,2,0.14,44.76
40109,39,2.8,47.56
40113,1,0.07,47.63
40115,1,0.07,47.7
40119,1,0.07,47.78
40121,2,0.14,47.92
40125,2,0.14,48.06
40129,1,0.07,48.13
40133,1,0.07,48.21
40135,2,0.14,48.35
40137,3,0.22,48.57
40141,1,0.07,48.64
40143,18,1.29,49.93
41047,1,0.07,50
41065,1,0.07,50.07
42043,1,0.07,50.14
42091,1,0.07,50.22
42101,1,0.07,50.29
45003,4,0.29,50.57
45007,2,0.14,50.72
45013,2,0.14,50.86
45015,1,0.07,50.93
45017,1,0.07,51
45019,7,0.5,51.51
45035,2,0.14,51.65
45037,1,0.07,51.72
